date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:37:56	226389/226389	---M-Z	200	added ('OK')	text/html	date:Sun,%2023%20Jul%202023%2023:14:34%20GMT	https://grostore-html.themetags.com/index.html	/home/chinekwe/Projects/Grostore/grostore-html.themetags.com/index.html	(from )
15:37:58	31/31	---M--	200	added ('OK')	text/plain	date:Sun,%2001%20Jan%202023%2013:55:50%20GMT	https://grostore-html.themetags.com/robots.txt		(from )
15:37:58	3508/3508	---M--	200	added ('OK')	image/png	date:Sat,%2015%20Jul%202023%2020:18:22%20GMT	https://grostore-html.themetags.com/assets/img/favicon.png	/home/chinekwe/Projects/Grostore/grostore-html.themetags.com/assets/img/favicon.png	(from https://grostore-html.themetags.com/index.html)
15:38:00	765994/765994	---M-Z	200	added ('OK')	text/css	date:Tue,%2025%20Jul%202023%2014:21:44%20GMT	https://grostore-html.themetags.com/assets/css/main.css	/home/chinekwe/Projects/Grostore/grostore-html.themetags.com/assets/css/main.css	(from https://grostore-html.themetags.com/index.html)
15:38:01	4471/4471	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2015%20Jul%202023%2020:18:22%20GMT	https://grostore-html.themetags.com/assets/img/flags/usd.svg	/home/chinekwe/Projects/Grostore/grostore-html.themetags.com/assets/img/flags/usd.svg	(from https://grostore-html.themetags.com/index.html)
15:38:02	194/194	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2015%20Jul%202023%2020:18:22%20GMT	https://grostore-html.themetags.com/assets/img/flags/bdt.svg	/home/chinekwe/Projects/Grostore/grostore-html.themetags.com/assets/img/flags/bdt.svg	(from https://grostore-html.themetags.com/index.html)
15:38:03	357055/357055	---M--	200	added ('OK')	image/gif	date:Sat,%2015%20Jul%202023%2020:18:22%20GMT	https://grostore-html.themetags.com/assets/img/preloader.gif	/home/chinekwe/Projects/Grostore/grostore-html.themetags.com/assets/img/preloader.gif	(from https://grostore-html.themetags.com/index.html)
15:38:03	1099/1099	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2015%20Jul%202023%2020:18:22%20GMT	https://grostore-html.themetags.com/assets/img/flags/inr.svg	/home/chinekwe/Projects/Grostore/grostore-html.themetags.com/assets/img/flags/inr.svg	(from https://grostore-html.themetags.com/index.html)
15:38:04	3112/3112	---M--	200	added ('OK')	image/png	date:Sat,%2015%20Jul%202023%2020:18:22%20GMT	https://grostore-html.themetags.com/assets/img/logo.png	/home/chinekwe/Projects/Grostore/grostore-html.themetags.com/assets/img/logo.png	(from https://grostore-html.themetags.com/index.html)
15:38:05	168665/168665	---M-Z	200	added ('OK')	text/html	date:Sun,%2023%20Jul%202023%2023:14:34%20GMT	https://grostore-html.themetags.com/shop-grid.html	/home/chinekwe/Projects/Grostore/grostore-html.themetags.com/shop-grid.html	(from https://grostore-html.themetags.com/index.html)
15:38:07	2214/2214	---M--	200	added ('OK')	image/png	date:Sat,%2015%20Jul%202023%2020:18:22%20GMT	https://grostore-html.themetags.com/assets/img/category/baby-care.png	/home/chinekwe/Projects/Grostore/grostore-html.themetags.com/assets/img/category/baby-care.png	(from https://grostore-html.themetags.com/index.html)
15:38:07	1611/1611	---M--	200	added ('OK')	image/png	date:Sat,%2015%20Jul%202023%2020:18:22%20GMT	https://grostore-html.themetags.com/assets/img/category/cleaning.png	/home/chinekwe/Projects/Grostore/grostore-html.themetags.com/assets/img/category/cleaning.png	(from https://grostore-html.themetags.com/index.html)
15:38:08	2270/2270	---M--	200	added ('OK')	image/png	date:Sat,%2015%20Jul%202023%2020:18:22%20GMT	https://grostore-html.themetags.com/assets/img/category/bakery-biscuits.png	/home/chinekwe/Projects/Grostore/grostore-html.themetags.com/assets/img/category/bakery-biscuits.png	(from https://grostore-html.themetags.com/index.html)
15:38:09	1869/1869	---M--	200	added ('OK')	image/png	date:Sat,%2015%20Jul%202023%2020:18:22%20GMT	https://grostore-html.themetags.com/assets/img/category/coffee-drinks.png	/home/chinekwe/Projects/Grostore/grostore-html.themetags.com/assets/img/category/coffee-drinks.png	(from https://grostore-html.themetags.com/index.html)
15:38:10	2520/2520	---M--	200	added ('OK')	image/png	date:Sat,%2015%20Jul%202023%2020:18:22%20GMT	https://grostore-html.themetags.com/assets/img/category/beauty-health.png	/home/chinekwe/Projects/Grostore/grostore-html.themetags.com/assets/img/category/beauty-health.png	(from https://grostore-html.themetags.com/index.html)
15:38:11	2094/2094	---M--	200	added ('OK')	image/png	date:Sat,%2015%20Jul%202023%2020:18:22%20GMT	https://grostore-html.themetags.com/assets/img/category/breakfast.png	/home/chinekwe/Projects/Grostore/grostore-html.themetags.com/assets/img/category/breakfast.png	(from https://grostore-html.themetags.com/index.html)
15:38:12	2320/2320	---M--	200	added ('OK')	image/png	date:Sat,%2015%20Jul%202023%2020:18:22%20GMT	https://grostore-html.themetags.com/assets/img/category/cold-drinks.png	/home/chinekwe/Projects/Grostore/grostore-html.themetags.com/assets/img/category/cold-drinks.png	(from https://grostore-html.themetags.com/index.html)
15:38:13	1952/1952	---M--	200	added ('OK')	image/png	date:Sat,%2015%20Jul%202023%2020:18:22%20GMT	https://grostore-html.themetags.com/assets/img/category/fresh-fruits.png	/home/chinekwe/Projects/Grostore/grostore-html.themetags.com/assets/img/category/fresh-fruits.png	(from https://grostore-html.themetags.com/index.html)
15:38:14	1934/1934	---M--	200	added ('OK')	image/png	date:Sat,%2015%20Jul%202023%2020:18:22%20GMT	https://grostore-html.themetags.com/assets/img/category/honey.png	/home/chinekwe/Projects/Grostore/grostore-html.themetags.com/assets/img/category/honey.png	(from https://grostore-html.themetags.com/index.html)
15:38:15	2734/2734	---M--	200	added ('OK')	image/png	date:Sat,%2015%20Jul%202023%2020:18:22%20GMT	https://grostore-html.themetags.com/assets/img/category/fresh-organic.png	/home/chinekwe/Projects/Grostore/grostore-html.themetags.com/assets/img/category/fresh-organic.png	(from https://grostore-html.themetags.com/index.html)
15:38:16	1733/1733	---M--	200	added ('OK')	image/png	date:Sat,%2015%20Jul%202023%2020:18:22%20GMT	https://grostore-html.themetags.com/assets/img/category/jam-jelly.png	/home/chinekwe/Projects/Grostore/grostore-html.themetags.com/assets/img/category/jam-jelly.png	(from https://grostore-html.themetags.com/index.html)
15:38:17	2205/2205	---M--	200	added ('OK')	image/png	date:Sat,%2015%20Jul%202023%2020:18:22%20GMT	https://grostore-html.themetags.com/assets/img/category/sports-fitness.png	/home/chinekwe/Projects/Grostore/grostore-html.themetags.com/assets/img/category/sports-fitness.png	(from https://grostore-html.themetags.com/index.html)
15:38:20	2185/2185	---M--	200	added ('OK')	image/png	date:Sat,%2015%20Jul%202023%2020:18:22%20GMT	https://grostore-html.themetags.com/assets/img/category/pet-care.png	/home/chinekwe/Projects/Grostore/grostore-html.themetags.com/assets/img/category/pet-care.png	(from https://grostore-html.themetags.com/index.html)
15:38:21	2298/2298	---M--	200	added ('OK')	image/png	date:Sat,%2015%20Jul%202023%2020:18:22%20GMT	https://grostore-html.themetags.com/assets/img/category/sea-fish.png	/home/chinekwe/Projects/Grostore/grostore-html.themetags.com/assets/img/category/sea-fish.png	(from https://grostore-html.themetags.com/index.html)
15:38:21	1808/1808	---M--	200	added ('OK')	image/png	date:Sat,%2015%20Jul%202023%2020:18:22%20GMT	https://grostore-html.themetags.com/assets/img/category/meat.png	/home/chinekwe/Projects/Grostore/grostore-html.themetags.com/assets/img/category/meat.png	(from https://grostore-html.themetags.com/index.html)
15:38:22	179236/179236	---M-Z	200	added ('OK')	text/html	date:Sun,%2023%20Jul%202023%2023:14:34%20GMT	https://grostore-html.themetags.com/index-2.html	/home/chinekwe/Projects/Grostore/grostore-html.themetags.com/index-2.html	(from https://grostore-html.themetags.com/index.html)
15:38:23	213949/213949	---M-Z	200	added ('OK')	text/html	date:Sun,%2023%20Jul%202023%2023:14:34%20GMT	https://grostore-html.themetags.com/index-4.html	/home/chinekwe/Projects/Grostore/grostore-html.themetags.com/index-4.html	(from https://grostore-html.themetags.com/index.html)
15:38:23	209322/209322	---M-Z	200	added ('OK')	text/html	date:Sun,%2023%20Jul%202023%2023:14:34%20GMT	https://grostore-html.themetags.com/index-3.html	/home/chinekwe/Projects/Grostore/grostore-html.themetags.com/index-3.html	(from https://grostore-html.themetags.com/index.html)
15:38:24	266602/266602	---M-Z	200	added ('OK')	text/html	date:Sun,%2023%20Jul%202023%2023:14:34%20GMT	https://grostore-html.themetags.com/index-5.html	/home/chinekwe/Projects/Grostore/grostore-html.themetags.com/index-5.html	(from https://grostore-html.themetags.com/index.html)
15:38:25	96802/96802	---M-Z	200	added ('OK')	text/html	date:Sun,%2023%20Jul%202023%2023:14:34%20GMT	https://grostore-html.themetags.com/index-6.html	/home/chinekwe/Projects/Grostore/grostore-html.themetags.com/index-6.html	(from https://grostore-html.themetags.com/index.html)
15:38:26	200946/200946	---M-Z	200	added ('OK')	text/html	date:Tue,%2025%20Jul%202023%2014:21:44%20GMT	https://grostore-html.themetags.com/index-7.html	/home/chinekwe/Projects/Grostore/grostore-html.themetags.com/index-7.html	(from https://grostore-html.themetags.com/index.html)
15:38:27	133041/133041	---M-Z	200	added ('OK')	text/html	date:Sun,%2023%20Jul%202023%2023:14:34%20GMT	https://grostore-html.themetags.com/shop-grid-2.html	/home/chinekwe/Projects/Grostore/grostore-html.themetags.com/shop-grid-2.html	(from https://grostore-html.themetags.com/index.html)
